	c1	c2	c3	c4	c5	c6	c7	c8	c9	c11	c12	c13	c14	c15	c16
c1	0.0	1.0	0.20105274414711802	0.0002510802454720237	0.0	0.02500302173851788	0.0011138403264905718	0.010816000783986824	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c2	1.0	0.0	0.1959553516212979	0.16861113761539806	0.0	0.42830500936393523	0.0069025610561044	0.017061585061119003	0.0	0.0	5.860804660019028e-05	0.0	0.0	0.0	0.0
c3	0.20105274414711802	0.1959553516212979	0.0	0.5200446396888856	0.7733422384570505	0.5545315360082875	0.10055659404153959	0.06808609596811548	0.0008730116694981971	0.19048765893581132	0.00013871606245280464	0.002987792894296648	0.0024521741801123713	9.622134543206724e-05	0.0010866998199734095
c4	0.0002510802454720237	0.16861113761539806	0.5200446396888856	0.0	0.2783800559069114	0.44433951692073426	0.07302985470349715	0.01150924651605422	0.0	0.4025489312082816	0.0244563823519087	0.19503109894171203	0.0428377148387347	0.0021101980023124356	0.0006470239462972689
c5	0.0	0.0	0.7733422384570505	0.2783800559069114	0.0	0.10182130746158652	0.05852016233870424	0.01435851417207544	0.039548985439201594	0.2842099863275999	0.03833291847911335	0.034007276967015616	0.5724496452321247	0.004576948463016079	0.0025561439853719263
c6	0.02500302173851788	0.42830500936393523	0.5545315360082875	0.44433951692073426	0.10182130746158652	0.0	0.8308994522445489	0.2963629115184648	0.0022164214625751814	0.14645529502374457	0.013312231164102583	0.09193595842941722	0.003268458060928722	0.0016123067002691066	0.0017826982038202735
c7	0.0011138403264905718	0.0069025610561044	0.10055659404153959	0.07302985470349715	0.05852016233870424	0.8308994522445489	0.0	1.0	0.9014437112632694	0.5708208628554281	0.08358136398973524	0.011724840440745257	0.00025059738921342703	0.002477976553686388	0.00041004612019334287
c8	0.010816000783986824	0.017061585061119003	0.06808609596811548	0.01150924651605422	0.01435851417207544	0.2963629115184648	1.0	0.0	1.0	0.012196490150511765	0.028312124473788662	0.07245294930455938	0.0006194206233609537	0.000729167033706751	0.000506771088426192
c9	0.0	0.0	0.0008730116694981971	0.0	0.039548985439201594	0.0022164214625751814	0.9014437112632694	1.0	0.0	0.27718301198210005	0.6803894641693751	0.07492999632883161	0.0005758180624161766	0.009354180263211921	0.0
c11	0.0	0.0	0.19048765893581132	0.4025489312082816	0.2842099863275999	0.14645529502374457	0.5708208628554281	0.012196490150511765	0.27718301198210005	0.0	0.8288928570466493	0.22607833879726896	0.9118240805179928	0.013417216730008905	0.0010284888559584033
c12	0.0	5.860804660019028e-05	0.00013871606245280464	0.0244563823519087	0.03833291847911335	0.013312231164102583	0.08358136398973524	0.028312124473788662	0.6803894641693751	0.8288928570466493	0.0	1.0	0.179053499353307	0.0902993495030622	0.0
c13	0.0	0.0	0.002987792894296648	0.19503109894171203	0.034007276967015616	0.09193595842941722	0.011724840440745257	0.07245294930455938	0.07492999632883161	0.22607833879726896	1.0	0.0	0.10493861719179783	0.38110248779079414	0.000725528384809903
c14	0.0	0.0	0.0024521741801123713	0.0428377148387347	0.5724496452321247	0.003268458060928722	0.00025059738921342703	0.0006194206233609537	0.0005758180624161766	0.9118240805179928	0.179053499353307	0.10493861719179783	0.0	0.5511013421666713	0.0016540656106660758
c15	0.0	0.0	9.622134543206724e-05	0.0021101980023124356	0.004576948463016079	0.0016123067002691066	0.002477976553686388	0.000729167033706751	0.009354180263211921	0.013417216730008905	0.0902993495030622	0.38110248779079414	0.5511013421666713	0.0	1.0
c16	0.0	0.0	0.0010866998199734095	0.0006470239462972689	0.0025561439853719263	0.0017826982038202735	0.00041004612019334287	0.000506771088426192	0.0	0.0010284888559584033	0.0	0.000725528384809903	0.0016540656106660758	1.0	0.0
