Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	CTCF_HUMAN.H11MO.0.A	4.57055e-15	CTCFL_HUMAN.H11MO.0.A	1.67343e-07	SNAI1_HUMAN.H11MO.0.C	0.318072
pattern_1	PO5F1_HUMAN.H11MO.0.A	2.28659e-13	NANOG_HUMAN.H11MO.0.A	2.28659e-13	PO3F1_HUMAN.H11MO.0.C	0.000840524
pattern_2	KLF3_HUMAN.H11MO.0.B	4.43605e-08	SP3_HUMAN.H11MO.0.B	7.21895e-08	SP2_HUMAN.H11MO.0.A	7.76886e-07
pattern_3	FOSL2_HUMAN.H11MO.0.A	4.49907e-05	JUN_HUMAN.H11MO.0.A	4.49907e-05	FOSB_HUMAN.H11MO.0.A	7.49389e-05
pattern_4	NFYB_HUMAN.H11MO.0.A	6.89918e-11	NFYC_HUMAN.H11MO.0.A	2.24387e-06	NFYA_HUMAN.H11MO.0.A	6.24939e-06
pattern_5	GABPA_HUMAN.H11MO.0.A	1.79315e-10	ETV1_HUMAN.H11MO.0.A	7.52764e-06	ELK4_HUMAN.H11MO.0.A	4.13578e-05
pattern_6	NRF1_HUMAN.H11MO.0.A	7.97017e-07	ASCL1_HUMAN.H11MO.0.A	1.0	SNAI2_HUMAN.H11MO.0.A	1.0
pattern_7	NFIC_HUMAN.H11MO.0.A	5.92945e-08	NFIA_HUMAN.H11MO.0.C	1.64333e-06	ZN322_HUMAN.H11MO.0.B	0.0278562
pattern_8	USF2_HUMAN.H11MO.0.A	0.0014081	ATF3_HUMAN.H11MO.0.A	0.0014081	CREM_HUMAN.H11MO.0.C	0.0014081
pattern_9	THA11_HUMAN.H11MO.0.B	4.07873e-21	ZN143_HUMAN.H11MO.0.A	4.67175e-18	ZNF76_HUMAN.H11MO.0.C	2.93692e-17
pattern_10	TYY1_HUMAN.H11MO.0.A	5.75589e-07	TAF1_HUMAN.H11MO.0.A	1.56479e-05	ZFP42_HUMAN.H11MO.0.A	0.00658717
pattern_11	ETV2_HUMAN.H11MO.0.B	0.000115496	ETS1_HUMAN.H11MO.0.A	0.000115496	ERG_HUMAN.H11MO.0.A	0.0001923
pattern_12	TWST1_HUMAN.H11MO.0.A	1.2186e-08	ZBT18_HUMAN.H11MO.0.C	0.0390041	OLIG2_HUMAN.H11MO.0.B	0.0390041
pattern_13	RFX1_HUMAN.H11MO.0.B	3.93707e-09	RFX2_HUMAN.H11MO.0.A	7.08957e-09	RFX3_HUMAN.H11MO.0.B	2.76924e-06
pattern_14	KAISO_HUMAN.H11MO.0.A	4.28563e-05	COE1_HUMAN.H11MO.0.A	0.999998	ZN121_HUMAN.H11MO.0.C	0.999998
pattern_15	FOSB_HUMAN.H11MO.0.A	0.013682	FOS_HUMAN.H11MO.0.A	0.013682	ETV5_HUMAN.H11MO.0.C	0.0365825
pattern_16	RUNX3_HUMAN.H11MO.0.A	0.000350776	RUNX1_HUMAN.H11MO.0.A	0.000726532	PEBB_HUMAN.H11MO.0.C	0.000726532
pattern_17	FOXK1_HUMAN.H11MO.0.A	0.00239205	FOXA3_HUMAN.H11MO.0.B	0.00642871	FOXA1_HUMAN.H11MO.0.A	0.00642871
pattern_18	NKX61_HUMAN.H11MO.0.B	0.270654	ZN680_HUMAN.H11MO.0.C	0.270654	ZN214_HUMAN.H11MO.0.C	0.270654
pattern_19	SP1_HUMAN.H11MO.0.A	0.00963111	SP2_HUMAN.H11MO.0.A	0.00963111	SP3_HUMAN.H11MO.0.B	0.0224185
pattern_20	TAF1_HUMAN.H11MO.0.A	0.000495686	TYY1_HUMAN.H11MO.0.A	0.00241264	SP1_HUMAN.H11MO.0.A	0.00378364
pattern_21	STAT2_HUMAN.H11MO.0.A	0.061165	PO2F2_HUMAN.H11MO.0.A	0.199662	RUNX3_HUMAN.H11MO.0.A	0.232122
