Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	4.23882e-11	Oct4(POU,Homeobox)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	4.07843e-08	Oct2(POU,Homeobox)/Bcell-Oct2-ChIP-Seq(GSE21512)/Homer	0.000250955
pattern_1	CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	7.28326e-16	BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	2.58891e-11	Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)/Homer	0.0309725
pattern_2	KLF1(Zf)/HUDEP2-KLF1-CutnRun(GSE136251)/Homer	1.454e-07	KLF5(Zf)/LoVo-KLF5-ChIP-Seq(GSE49402)/Homer	2.56776e-06	KLF3(Zf)/MEF-Klf3-ChIP-Seq(GSE44748)/Homer	5.99143e-06
pattern_3	Fra2(bZIP)/Striatum-Fra2-ChIP-Seq(GSE43429)/Homer	0.00060046	Fos(bZIP)/TSC-Fos-ChIP-Seq(GSE110950)/Homer	0.00060046	AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer	0.00060046
pattern_4	Tlx?(NR)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	1.67393e-07	NF1(CTF)/LNCAP-NF1-ChIP-Seq(Unpublished)/Homer	1.71576e-06	NF1-halfsite(CTF)/LNCaP-NF1-ChIP-Seq(Unpublished)/Homer	0.0201403
pattern_5	NFY(CCAAT)/Promoter/Homer	3.20583e-10	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)/Homer	0.322286	ZSCAN22(Zf)/HEK293-ZSCAN22.GFP-ChIP-Seq(GSE58341)/Homer	0.34076
pattern_6	Pitx1:Ebox(Homeobox,bHLH)/Hindlimb-Pitx1-ChIP-Seq(GSE41591)/Homer	3.34428e-12	TCF4(bHLH)/SHSY5Y-TCF4-ChIP-Seq(GSE96915)/Homer	0.000610532	BHLHA15(bHLH)/NIH3T3-BHLHB8.HA-ChIP-Seq(GSE119782)/Homer	0.0146538
pattern_7	ETV4(ETS)/HepG2-ETV4-ChIP-Seq(ENCODE)/Homer	4.28934e-05	Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)/Homer	4.28934e-05	ETS(ETS)/Promoter/Homer	6.62859e-05
pattern_8	CRE(bZIP)/Promoter/Homer	4.02855e-05	Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)/Homer	4.02855e-05	Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)/Homer	5.54148e-05
pattern_9	NRF(NRF)/Promoter/Homer	1.14767e-06	NRF1(NRF)/MCF7-NRF1-ChIP-Seq(Unpublished)/Homer	4.27056e-06	Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)/Homer	1.0
pattern_10	ERG(ETS)/VCaP-ERG-ChIP-Seq(GSE14097)/Homer	6.15152e-05	ETS1(ETS)/Jurkat-ETS1-ChIP-Seq(GSE17954)/Homer	0.000223581	EWS:ERG-fusion(ETS)/CADO_ES1-EWS:ERG-ChIP-Seq(SRA014231)/Homer	0.000286913
pattern_11	GFY-Staf(?,Zf)/Promoter/Homer	5.75585e-18	Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522)/Homer	5.43137e-16	GFY(?)/Promoter/Homer	3.63319e-07
pattern_12	RUNX1(Runt)/Jurkat-RUNX1-ChIP-Seq(GSE29180)/Homer	3.27392e-05	RUNX2(Runt)/PCa-RUNX2-ChIP-Seq(GSE33889)/Homer	0.00024275	RUNX(Runt)/HPC7-Runx1-ChIP-Seq(GSE22178)/Homer	0.00036844
pattern_13	GFX(?)/Promoter/Homer	0.000333161	ZBTB33(Zf)/GM12878-ZBTB33-ChIP-Seq(GSE32465)/Homer	0.000368833	E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)/Homer	0.816258
pattern_14	RFX(HTH)/K562-RFX3-ChIP-Seq(SRA012198)/Homer	8.90138e-10	Rfx2(HTH)/LoVo-RFX2-ChIP-Seq(GSE49402)/Homer	1.28773e-09	Rfx1(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	5.0127e-07
pattern_15	TEAD3(TEA)/HepG2-TEAD3-ChIP-Seq(Encode)/Homer	0.0493573	TEAD(TEA)/Fibroblast-PU.1-ChIP-Seq(Unpublished)/Homer	0.0493573	TEAD2(TEA)/Py2T-Tead2-ChIP-Seq(GSE55709)/Homer	0.0493573
pattern_16	YY1(Zf)/Promoter/Homer	1.65382e-08	BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	0.308314	ZNF165(Zf)/WHIM12-ZNF165-ChIP-Seq(GSE65937)/Homer	0.308314
pattern_17	Oct2(POU,Homeobox)/Bcell-Oct2-ChIP-Seq(GSE21512)/Homer	0.0580385	Oct4(POU,Homeobox)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	0.0852567	Oct11(POU,Homeobox)/NCIH1048-POU2F3-ChIP-seq(GSE115123)/Homer	0.0852567
pattern_18	Bach2(bZIP)/OCILy7-Bach2-ChIP-Seq(GSE44420)/Homer	0.080133	MafK(bZIP)/C2C12-MafK-ChIP-Seq(GSE36030)/Homer	0.0992747	AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	0.125761
pattern_19	CHR(?)/Hela-CellCycle-Expression/Homer	1.0	ZNF519(Zf)/HEK293-ZNF519.GFP-ChIP-Seq(GSE58341)/Homer	1.0	HNF6(Homeobox)/Liver-Hnf6-ChIP-Seq(ERP000394)/Homer	1.0
