Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	PO5F1_MOUSE.H11MO.0.A	2.96824e-12	PO5F1_HUMAN.H11MO.0.A	4.55501e-12	NANOG_HUMAN.H11MO.0.A	1.3897e-10
pattern_1	CTCF_HUMAN.H11MO.0.A	1.78667e-17	CTCF_MA0139.1	1.78667e-17	CTCF_MOUSE.H11MO.0.A	2.21821e-13
pattern_2	SP3_HUMAN.H11MO.0.B	6.82742e-09	SP3_MOUSE.H11MO.0.B	6.82742e-09	KLF3_HUMAN.H11MO.0.B	2.19212e-08
pattern_3	JUN_HUMAN.H11MO.0.A	1.46253e-06	FOS+JUN_MA0099.3	4.2864e-06	FOSL2+JUN_MA1130.1	4.2864e-06
pattern_4	ELK4_MA0076.2	6.0447e-07	FLI1_MOUSE.H11MO.0.A	3.63188e-06	ELF1_MOUSE.H11MO.0.A	9.26969e-06
pattern_5	NFYB_HUMAN.H11MO.0.A	1.90538e-09	NFYB_MOUSE.H11MO.0.A	1.90538e-09	NFYC_HUMAN.H11MO.0.A	6.76634e-05
pattern_6	NRF1_HUMAN.H11MO.0.A	4.52522e-08	NRF1_MOUSE.H11MO.0.A	1.30817e-07	NRF1_NRF_1	1.00719e-05
pattern_7	NFIC_HUMAN.H11MO.0.A	2.2093e-10	NFIA_HUMAN.H11MO.0.C	5.07015e-05	NFIA_MOUSE.H11MO.0.C	5.07015e-05
pattern_8	USF2_HUMAN.H11MO.0.A	3.14814e-05	USF2_MOUSE.H11MO.0.A	3.14814e-05	ATF1_HUMAN.H11MO.0.B	0.00151945
pattern_9	ZN143_HUMAN.H11MO.0.A	4.65113e-22	ZNF76_HUMAN.H11MO.0.C	3.90298e-21	ZN143_MOUSE.H11MO.0.A	7.92427e-20
pattern_10	ETS1_HUMAN.H11MO.0.A	0.000241066	ETV2_HUMAN.H11MO.0.B	0.000241066	ETV2_MOUSE.H11MO.0.A	0.000241066
pattern_11	TYY1_HUMAN.H11MO.0.A	2.93884e-06	TYY1_MOUSE.H11MO.0.A	1.0094e-05	YY1_MA0095.2	1.02891e-05
pattern_12	TWST1_HUMAN.H11MO.0.A	4.58031e-08	TWST1_MOUSE.H11MO.0.B	4.58031e-08	TWIST1_MA1123.1	0.00037156
pattern_13	RFX3_MOUSE.H11MO.0.C	1.11792e-09	RFX1_HUMAN.H11MO.0.B	1.86427e-08	RFX1_MOUSE.H11MO.0.A	1.86427e-08
pattern_14	ZFX_MOUSE.H11MO.0.B	0.0232697	SP2_HUMAN.H11MO.0.A	0.0232697	SP2_MOUSE.H11MO.0.B	0.0232697
pattern_15	RUNX3_HUMAN.H11MO.0.A	0.00166428	RUNX1_MOUSE.H11MO.0.A	0.00166428	RUNX1_MA0002.2	0.00166428
pattern_16	ZBTB33_MA0527.1	2.58268e-07	KAISO_HUMAN.H11MO.0.A	2.58268e-07	KAISO_MOUSE.H11MO.0.B	2.58268e-07
pattern_17	FOXC2_MA0846.1	0.000523878	FOXC2_forkhead_3	0.000523878	FOXL2_MOUSE.H11MO.0.C	0.00411
pattern_18	TEAD3_MA0808.1	0.0144652	TEAD3_TEA_2	0.0144652	TEAD1_MOUSE.H11MO.0.A	0.0954911
pattern_19	POU2F2_MA0507.1	0.191925	POU3F2_MA0787.1	0.191925	POU3F2_POU_2	0.191925
pattern_20	SP1_HUMAN.H11MO.0.A	0.0225681	ZFX_MOUSE.H11MO.0.B	0.0242716	SP2_HUMAN.H11MO.0.A	0.0242716
pattern_21	SP2_HUMAN.H11MO.0.A	0.00129657	SP2_MOUSE.H11MO.0.B	0.00129657	SP1_MOUSE.H11MO.0.A	0.00273887
pattern_22	SP1_HUMAN.H11MO.0.A	0.030727	ZFX_MOUSE.H11MO.0.B	0.0347355	SP2_HUMAN.H11MO.0.A	0.0347355
pattern_23	SP1_HUMAN.H11MO.0.A	0.000354205	SP2_HUMAN.H11MO.0.A	0.00289069	SP2_MOUSE.H11MO.0.B	0.00289069
