Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	1.37748e-14	CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	1.9962e-11	Zic3(Zf)/mES-Zic3-ChIP-Seq(GSE37889)/Homer	0.0478907
pattern_1	Sp1(Zf)/Promoter/Homer	7.06454e-05	KLF14(Zf)/HEK293-KLF14.GFP-ChIP-Seq(GSE58341)/Homer	7.06454e-05	Sp5(Zf)/mES-Sp5.Flag-ChIP-Seq(GSE72989)/Homer	0.000243521
pattern_2	Oct4(POU,Homeobox)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	4.17889e-07	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	1.64476e-06	Oct2(POU,Homeobox)/Bcell-Oct2-ChIP-Seq(GSE21512)/Homer	2.46428e-05
pattern_3	NF-E2(bZIP)/K562-NFE2-ChIP-Seq(GSE31477)/Homer	8.51525e-05	Nrf2(bZIP)/Lymphoblast-Nrf2-ChIP-Seq(GSE37589)/Homer	8.51525e-05	Bach1(bZIP)/K562-Bach1-ChIP-Seq(GSE31477)/Homer	8.51525e-05
pattern_4	ERG(ETS)/VCaP-ERG-ChIP-Seq(GSE14097)/Homer	7.94919e-07	ETS1(ETS)/Jurkat-ETS1-ChIP-Seq(GSE17954)/Homer	7.94919e-07	Etv2(ETS)/ES-ER71-ChIP-Seq(GSE59402)/Homer	0.000550692
pattern_5	MyoG(bHLH)/C2C12-MyoG-ChIP-Seq(GSE36024)/Homer	0.000452943	ETS:E-box(ETS,bHLH)/HPC7-Scl-ChIP-Seq(GSE22178)/Homer	0.000452943	Tcf12(bHLH)/GM12878-Tcf12-ChIP-Seq(GSE32465)/Homer	0.000452943
pattern_6	Sox3(HMG)/NPC-Sox3-ChIP-Seq(GSE33059)/Homer	0.0117337	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	0.0490637	Sox17(HMG)/Endoderm-Sox17-ChIP-Seq(GSE61475)/Homer	0.0490637
pattern_7	NRF(NRF)/Promoter/Homer	0.000517646	NRF1(NRF)/MCF7-NRF1-ChIP-Seq(Unpublished)/Homer	0.000697294	Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)/Homer	0.64546
pattern_8	EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)/Homer	2.04647e-05	Klf4(Zf)/mES-Klf4-ChIP-Seq(GSE11431)/Homer	2.04647e-05	KLF5(Zf)/LoVo-KLF5-ChIP-Seq(GSE49402)/Homer	0.000186173
pattern_9	TEAD2(TEA)/Py2T-Tead2-ChIP-Seq(GSE55709)/Homer	7.10286e-06	TEAD4(TEA)/Tropoblast-Tead4-ChIP-Seq(GSE37350)/Homer	7.10286e-06	TEAD(TEA)/Fibroblast-PU.1-ChIP-Seq(Unpublished)/Homer	2.47559e-05
pattern_10	NFY(CCAAT)/Promoter/Homer	2.27292e-07	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)/Homer	0.473047	PAX5(Paired,Homeobox)/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer	0.528472
pattern_11	Sp1(Zf)/Promoter/Homer	1.0	Sp2(Zf)/HEK293-Sp2.eGFP-ChIP-Seq(Encode)/Homer	1.0	KLF3(Zf)/MEF-Klf3-ChIP-Seq(GSE44748)/Homer	1.0
pattern_12	Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)/Homer	9.11055e-06	Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)/Homer	9.1883e-06	Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)/Homer	9.1883e-06
pattern_13	RUNX1(Runt)/Jurkat-RUNX1-ChIP-Seq(GSE29180)/Homer	7.34509e-05	RUNX(Runt)/HPC7-Runx1-ChIP-Seq(GSE22178)/Homer	0.0002808	RUNX-AML(Runt)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer	0.000656523
pattern_14	X-box(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	4.05232e-08	Rfx1(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	4.05232e-08	Rfx2(HTH)/LoVo-RFX2-ChIP-Seq(GSE49402)/Homer	4.05232e-08
pattern_15	ZNF143|STAF(Zf)/CUTLL-ZNF143-ChIP-Seq(GSE29600)/Homer	0.142241	Zfp809(Zf)/ES-Zfp809-ChIP-Seq(GSE70799)/Homer	0.142241	GFY-Staf(?,Zf)/Promoter/Homer	0.196404
pattern_16	GFY-Staf(?,Zf)/Promoter/Homer	5.22271e-11	Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522)/Homer	5.22271e-11	ZNF143|STAF(Zf)/CUTLL-ZNF143-ChIP-Seq(GSE29600)/Homer	3.95923e-05
pattern_17	FOXA1:AR(Forkhead,NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	0.797432	NF1:FOXA1(CTF,Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer	0.797432	NFAT:AP1(RHD,bZIP)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)/Homer	0.797432
pattern_18	FOXA1:AR(Forkhead,NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	0.078363				
pattern_19	Egr1(Zf)/K562-Egr1-ChIP-Seq(GSE32465)/Homer	1.0	Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)/Homer	1.0	KLF10(Zf)/HEK293-KLF10.GFP-ChIP-Seq(GSE58341)/Homer	1.0
pattern_20	REST-NRSF(Zf)/Jurkat-NRSF-ChIP-Seq/Homer	0.00287465	ZNF669(Zf)/HEK293-ZNF669.GFP-ChIP-Seq(GSE58341)/Homer	0.445446	Ascl2(bHLH)/ESC-Ascl2-ChIP-Seq(GSE97712)/Homer	0.445446
pattern_21	TATA-Box(TBP)/Promoter/Homer	0.173044	REST-NRSF(Zf)/Jurkat-NRSF-ChIP-Seq/Homer	0.800198	ZNF768(Zf)/Rajj-ZNF768-ChIP-Seq(GSE111879)/Homer	0.800198
pattern_22	Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522)/Homer	0.0244635	GFY(?)/Promoter/Homer	0.0244635	GFY-Staf(?,Zf)/Promoter/Homer	0.0304851
