Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	CTCF_HUMAN.H11MO.0.A	1.10126e-13	CTCFL_HUMAN.H11MO.0.A	2.7455e-08	ZIC3_HUMAN.H11MO.0.B	0.0778027
pattern_1	SP3_HUMAN.H11MO.0.B	1.34548e-14	SP2_HUMAN.H11MO.0.A	3.82657e-11	KLF3_HUMAN.H11MO.0.B	1.06593e-07
pattern_2	SP2_HUMAN.H11MO.0.A	0.163059	NRF1_HUMAN.H11MO.0.A	0.163059	SP3_HUMAN.H11MO.0.B	0.217565
pattern_3	TEAD4_HUMAN.H11MO.0.A	9.42218e-06	TEAD1_HUMAN.H11MO.0.A	0.000300508	P63_HUMAN.H11MO.0.A	0.931531
pattern_4	NANOG_HUMAN.H11MO.0.A	1.32376e-08	PO5F1_HUMAN.H11MO.0.A	1.47132e-08	PO3F1_HUMAN.H11MO.0.C	0.000110539
pattern_5	SOX2_HUMAN.H11MO.0.A	0.00155645	NANOG_HUMAN.H11MO.0.A	0.00173899	LEF1_HUMAN.H11MO.0.A	0.00173899
pattern_6	NFYB_HUMAN.H11MO.0.A	3.78982e-09	NFYC_HUMAN.H11MO.0.A	3.61777e-06	NFYA_HUMAN.H11MO.0.A	1.22592e-05
pattern_7	ETS1_HUMAN.H11MO.0.A	0.00125112	EHF_HUMAN.H11MO.0.B	0.00689487	ETV4_HUMAN.H11MO.0.B	0.00689487
pattern_8	ELF1_HUMAN.H11MO.0.A	0.0502197	ELK1_HUMAN.H11MO.0.B	0.0502197	ETS1_HUMAN.H11MO.0.A	0.0502197
pattern_9	JUNB_HUMAN.H11MO.0.A	9.64058e-05	BACH2_HUMAN.H11MO.0.A	0.000176561	NF2L2_HUMAN.H11MO.0.A	0.000200175
pattern_10	SIX2_HUMAN.H11MO.0.A	0.0100164	SIX1_HUMAN.H11MO.0.A	0.0100164	ZNF85_HUMAN.H11MO.0.C	0.452459
pattern_11	ZNF76_HUMAN.H11MO.0.C	2.01783e-18	ZN143_HUMAN.H11MO.0.A	1.11593e-10	THA11_HUMAN.H11MO.0.B	1.56376e-10
pattern_12	RFX2_HUMAN.H11MO.0.A	6.13279e-09	RFX1_HUMAN.H11MO.0.B	5.63102e-07	RFX3_HUMAN.H11MO.0.B	2.87805e-05
pattern_13	PRDM6_HUMAN.H11MO.0.C	0.00406354	ANDR_HUMAN.H11MO.0.A	0.0153315	FOXJ3_HUMAN.H11MO.0.A	0.0243931
pattern_14	REST_HUMAN.H11MO.0.A	2.24404e-07	ZNF41_HUMAN.H11MO.0.C	0.999999	SOX17_HUMAN.H11MO.0.C	0.999999
pattern_15	USF2_HUMAN.H11MO.0.A	0.000165888	ATF2_HUMAN.H11MO.0.B	0.00161978	CREM_HUMAN.H11MO.0.C	0.00161978
pattern_16	USF1_HUMAN.H11MO.0.A	8.77888e-06	USF2_HUMAN.H11MO.0.A	8.77888e-06	TFE3_HUMAN.H11MO.0.B	1.42905e-05
pattern_17	REST_HUMAN.H11MO.0.A	1.25157e-12	ZN335_HUMAN.H11MO.0.A	1.0	TGIF1_HUMAN.H11MO.0.A	1.0
pattern_18	EGR2_HUMAN.H11MO.0.A	1.0	EGR1_HUMAN.H11MO.0.A	1.0	KLF5_HUMAN.H11MO.0.A	1.0
pattern_19	AP2A_HUMAN.H11MO.0.A	9.28533e-05	AP2C_HUMAN.H11MO.0.A	9.28533e-05	AP2B_HUMAN.H11MO.0.B	0.482814
pattern_20	SMAD4_HUMAN.H11MO.0.B	0.758786	E2F6_HUMAN.H11MO.0.A	0.758786	IRF3_HUMAN.H11MO.0.B	0.758786
pattern_21	REST_HUMAN.H11MO.0.A	0.000320068	ZN335_HUMAN.H11MO.0.A	0.551664	RELB_HUMAN.H11MO.0.C	0.551664
pattern_22	IRF3_HUMAN.H11MO.0.B	0.0104858	VEZF1_HUMAN.H11MO.0.C	0.0262159	MAZ_HUMAN.H11MO.0.A	0.0262159
