Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	CTCF_HUMAN.H11MO.0.A	7.3005e-15	CTCF_MA0139.1	1.4833e-14	CTCF_MOUSE.H11MO.0.A	1.0677e-13
pattern_1	SP1_MOUSE.H11MO.0.A	5.46601e-10	SP2_HUMAN.H11MO.0.A	2.63642e-08	SP2_MOUSE.H11MO.0.B	2.63642e-08
pattern_2	ETS1_HUMAN.H11MO.0.A	8.09673e-06	ETS1_MOUSE.H11MO.0.A	8.09673e-06	ERG_MOUSE.H11MO.0.A	1.09072e-05
pattern_3	NRF1_MA0506.1	0.00423355	NRF1_MOUSE.H11MO.0.A	0.00423355	NRF1_HUMAN.H11MO.0.A	0.020821
pattern_4	ATF3_MOUSE.H11MO.0.A	0.00556808	JUNB_HUMAN.H11MO.0.A	0.00556808	JUND_HUMAN.H11MO.0.A	0.00556808
pattern_5	TEAD4_HUMAN.H11MO.0.A	1.55273e-05	TEAD4_MOUSE.H11MO.0.A	1.55273e-05	TEAD1_HUMAN.H11MO.0.A	9.66123e-05
pattern_6	TFE2_HUMAN.H11MO.0.A	0.00972936	TFE2_MOUSE.H11MO.0.A	0.00972936	Tcf12_MA0521.1	0.00972936
pattern_7	POU5F1_MA1115.1	0.000104678	POU5F1B_MA0792.1	0.000104678	POU5F1P1_POU_1	0.000104678
pattern_8	NFYB_HUMAN.H11MO.0.A	1.27017e-08	NFYB_MOUSE.H11MO.0.A	1.27017e-08	NFYC_HUMAN.H11MO.0.A	2.12681e-06
pattern_9	RUNX3_HUMAN.H11MO.0.A	4.15774e-05	RUNX1_HUMAN.H11MO.0.A	4.15774e-05	RUNX1_MOUSE.H11MO.0.A	4.15774e-05
pattern_10	Klf1_MA0493.1	1.09564e-06	KLF9_MA1107.1	0.000537225	KLF4_HUMAN.H11MO.0.A	0.000635132
pattern_11	NANOG_MOUSE.H11MO.0.A	9.24991e-07	SOX2_MOUSE.H11MO.0.A	9.24991e-07	NANOG_HUMAN.H11MO.0.A	1.64353e-05
pattern_12	VEZF1_HUMAN.H11MO.0.C	6.61435e-08	ZN467_HUMAN.H11MO.0.C	5.57787e-06	MAZ_HUMAN.H11MO.0.A	5.57787e-06
pattern_13	AP2A_MOUSE.H11MO.0.A	0.000260387	AP2C_HUMAN.H11MO.0.A	0.000260387	AP2A_HUMAN.H11MO.0.A	0.000283238
pattern_14	CREB1_MA0018.3	5.72482e-07	JDP2_MA0656.1	8.04661e-05	JDP2_bZIP_4	8.04661e-05
pattern_15	RFX2_MOUSE.H11MO.0.A	8.60177e-08	Rfx1_MA0509.1	4.40432e-07	RFX3_MOUSE.H11MO.0.C	3.64136e-06
pattern_16	PRDM6_HUMAN.H11MO.0.C	0.0134955	STAT1_MOUSE.H11MO.0.A	0.0134955	ZNF384_MA1125.1	0.059976
pattern_17	PO5F1_HUMAN.H11MO.0.A	0.000285248	NANOG_HUMAN.H11MO.0.A	0.000339585	PO5F1_MOUSE.H11MO.0.A	0.000339585
pattern_18	ZN143_MOUSE.H11MO.0.A	5.15752e-21	ZN143_HUMAN.H11MO.0.A	7.53995e-21	ZNF76_HUMAN.H11MO.0.C	1.19815e-17
pattern_19	ZN816_HUMAN.H11MO.0.C	0.771585	ASCL1_MOUSE.H11MO.0.A	0.771585	NR1H3_HUMAN.H11MO.0.B	0.771585
pattern_20	REST_HUMAN.H11MO.0.A	1.53933e-10	REST_MOUSE.H11MO.0.A	1.53933e-10	REST_MA0138.2	7.71461e-10
pattern_21	REST_HUMAN.H11MO.0.A	5.32419e-10	REST_MA0138.2	8.59237e-10	REST_MOUSE.H11MO.0.A	1.15496e-09
pattern_22	NANOG_MOUSE.H11MO.0.A	0.00527273	SOX2_MOUSE.H11MO.0.A	0.00527273	Pou5f1+Sox2_MA0142.1	0.00527273
pattern_23	ZNF384_MA1125.1	0.121237	NANOG_MOUSE.H11MO.0.A	0.238568	SOX2_MOUSE.H11MO.0.A	0.458647
pattern_24	ZN143_MOUSE.H11MO.0.A	0.0121872	ZN143_HUMAN.H11MO.0.A	0.0121872	ZNF76_HUMAN.H11MO.0.C	0.0121872
pattern_25	NANOG_MOUSE.H11MO.0.A	0.186015	Foxj3.mouse_forkhead_4	0.186015	FOXJ2_forkhead_3	0.186015
pattern_26	THA11_HUMAN.H11MO.0.B	2.51577e-08	ZN143_HUMAN.H11MO.0.A	2.51577e-08	THA11_MOUSE.H11MO.0.B	2.70875e-08
