Average_149	REST_MA0138.2	cts6_pattern_8
Average_143	CTCF_MA0139.1	cts8_pattern_0
Average_138	ZN143_MOUSE.H11MO.0.A	cts9_pattern_13
Average_182	NFYB_HUMAN.H11MO.0.A	cts9_pattern_7
Average_136	SIX1_HUMAN.H11MO.0.A	cts8_pattern_6
Average_220	IRF1_MA0050.2	cts1_pattern_12
cts7_pattern_11.pfm	MEF2D_MOUSE.H11MO.0.A	cts7_pattern_11
Average_225	PO5F1_MOUSE.H11MO.0.A	cts11_pattern_0
cts8_pattern_11.pfm	TEAD1_TEA_2	cts8_pattern_11
Average_224	NFIC_HUMAN.H11MO.0.A	cts10_pattern_4
Average_230	CEBPA_MA0102.3	cts2_pattern_9
Average_228	FOSL2_HUMAN.H11MO.0.A	cts12_pattern_0
Average_117	RFX2_MOUSE.H11MO.0.A	cts8_pattern_9
Average_175	NRF1_HUMAN.H11MO.0.A	cts9_pattern_9
Average_158	RUNX3_HUMAN.H11MO.0.A	cts7_pattern_3
cts8_pattern_17.pfm	GRHL1_CP2_1	cts8_pattern_17
cts8_pattern_4.pfm	ZIC3_HUMAN.H11MO.0.B	cts8_pattern_4
Average_234	TEAD4_HUMAN.H11MO.0.A	cts8_pattern_3
Average_213	ETS1_MOUSE.H11MO.0.A	cts9_pattern_4
Average_223	ATF2_HUMAN.H11MO.0.B	cts1_pattern_5
Average_231	TWST1_MOUSE.H11MO.0.B	cts7_pattern_2
Average_177	FOXC2_MA0846.1	cts2_pattern_2
Average_191	NFKB1_HUMAN.H11MO.1.B	cts7_pattern_9
Average_145	AP2A_MOUSE.H11MO.0.A	cts6_pattern_3
cts8_pattern_8.pfm	POU3F2_MA0787.1	cts8_pattern_8
cts7_pattern_5.pfm	EGR2_MOUSE.H11MO.0.A	cts7_pattern_5
cts9_pattern_19.pfm	COE1_HUMAN.H11MO.0.A	cts9_pattern_19
cts11_pattern_4.pfm	SOX15_MA1152.1	cts11_pattern_4
cts1_pattern_6.pfm	SP2_HUMAN.H11MO.0.A	cts1_pattern_6
cts11_pattern_1.pfm	KLF3_HUMAN.H11MO.0.B	cts11_pattern_1
