cluster	colour	description	new_cluster
1	#CCCCCC	Intermediate	12
2	#E41A1C	Pre-iPSC	15
3	#377EB8	Fibroblast-like	5
4	#4DAF4A	Fibroblast-like	3
5	#984EA3	Fibroblast	1
6	#FF7F00	Fibroblast	2
7	#4B644A	Fibroblast-like	4
8	#A65628	Doublets	17
9	#F781BF	Keratinocyte-like	6
10	#999999	Pre-iPSC	16
11	#66C2A5	Partially-reprogrammed	14
12	#FC8D62	Intermediate	11
13	#8DA0CB	Intermediate	10
14	#BCF4F5	Early intermediate	7
15	#A6D854	Intermediate	13
16	#FFD92F	Neural-like	9
17	#E5C494	Neural-like	8
18	#B3B3B3	iPSC	18
